spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	131	19213	53.362	intergenic_ONTonly_ICs	supported
Hv3	131	7244	76.5508	intergenic_pacBio+ONT_ICs	supported
Hv3	132	328466	70.0955	all_ICs	supported
Hv3	132	33366	81.2319	all_pacBioOnly_ICs	supported
Hv3	132	186828	60.6214	all_ONTonly_ICs	supported
Hv3	132	108272	90.7295	all_pacBio+ONT_ICs	supported
Hv3	132	77247	60.9915	novel_ICs	supported
Hv3	132	7298	73.0604	novel_pacBioOnly_ICs	supported
Hv3	132	46403	52.4405	novel_ONTonly_ICs	supported
Hv3	132	23546	83.5676	novel_pacBio+ONT_ICs	supported
Hv3	132	27640	57.9625	intergenic_ICs	supported
Hv3	132	1214	54.734	intergenic_pacBioOnly_ICs	supported
Hv3	132	19189	53.2954	intergenic_ONTonly_ICs	supported
Hv3	132	7237	76.4768	intergenic_pacBio+ONT_ICs	supported
Hv3	133	328263	70.0522	all_ICs	supported
Hv3	133	33357	81.21	all_pacBioOnly_ICs	supported
Hv3	133	186661	60.5673	all_ONTonly_ICs	supported
Hv3	133	108245	90.7068	all_pacBio+ONT_ICs	supported
Hv3	133	77163	60.9252	novel_ICs	supported
Hv3	133	7295	73.0303	novel_pacBioOnly_ICs	supported
Hv3	133	46332	52.3602	novel_ONTonly_ICs	supported
Hv3	133	23536	83.5321	novel_pacBio+ONT_ICs	supported
Hv3	133	27596	57.8702	intergenic_ICs	supported
Hv3	133	1211	54.5987	intergenic_pacBioOnly_ICs	supported
Hv3	133	19152	53.1926	intergenic_ONTonly_ICs	supported
Hv3	133	7233	76.4345	intergenic_pacBio+ONT_ICs	supported
Hv3	134	328018	69.9999	all_ICs	supported
